Title,Date,Rating,Author,Summary,OCN,Pros,Cons,Verdict
Redragon Cobra,2020-01-20,7.8,Morten Skeldal Østergaard,Lågprismus för datorspelare.,Mus, Billig," För glatt yta
","Cobra är en ganska smal mus som passar en lite mindre hand. Den ligger skönt i handen och det enda vi saknar i ergonomisk väg är ett bättre grepp på sidorna, kanske med gummi i stället för som nu med plast. "
Huawei FreeBuds 3,2019-11-19,7.6,Markus Dahlberg,Trådlösa hörlurar med stil.,Hörlurar och headset, Bra passform, Trist styrning,"Ljudkvaliteten i övrigt är okej, men inte mer. För de två tusen som Huawei vill ha kan vi definitivt begära bättre ljudkvalitet. Det låter lite instängt i de yttre frekvenserna och ibland hörs ljud i musiken som vi aldrig har upplevt tidigare? Digitala artefakter på grund av brusreduceringen? Svårt att veta, men det känns lite svajigt."
Bullguard Internet Security,2020-01-21,8.0,Niklas Ernst,"Hög säkerhet, men det ser rörigt och trist ut.",Program appar spel, Inbyggd backup," Inte så intuitivt
",BullGuard kan blockera både hemsidor och program. Det är smart om minderåriga använder datorn och du inte vill att de ska komma åt vissa webbsidor eller inte kunna starta vissa program. Denna funktion är enkel att ställa in och den blockerar de valda objekten effektivt. 
Bitdefender Internet Security,2020-01-20,9.4,Niklas Ernst,Säkerhetsprogram med fokus på integritet.,Program appar spel, Hög säkerhet,,"I en kolumn till vänster finns det fler funktioner. Under Skydd finns alla verktyg som används för att skydda datorn, det vill säga antivirus, brandvägg, antispam och så vidare. Här går det även att söka igenom datorn efter andra säkerhetsrisker, till exempel dåliga lösenord, saknade Windowsuppdateringar eller säkerhetsstatusen för nätverket."
Airthings Wave Mini,2020-01-20,8.5,Morten Skeldal Østergaard,Liten klimatmätare för inomhusbruk.,Diverse, Bra app," Bara avläsbar hemma
",För att se hur det står till med klimatet därhemma är det bara att vifta till framför pucken med handen. En röd prick innebär att halten av skadliga partiklar har nått kritiska nivåer. Lyser det gult ska man se upp och är pricken grön är allt okej. 
Arlo Pro 3,2020-01-23,9.1,Morten Skeldal Østergaard,Helt trådlös övervakningskamera.,Övervakningskamera, Bra app," Dyr
","Inspelningarna i upplösningen 2560×1440 pixel blir mycket bra. Kameran har ett synfält på 160 grader, så den täcker ett ganska stort område. Inspelningarna sparas alltid online på det konto som ingår, så även om någon stjäl kameran finns filmerna kvar."
F-Secure SAFE,2020-01-21,8.3,Niklas Ernst,Elegant säkerhet med vettiga funktioner.,Program appar spel, Hög säkerhet," Få funktioner
",Startfönstret visar tydligt om datorn är säker eller hotad. Här ser man direkt om datorn är skyddad och programmet uppdaterat. Det finns även ett surfskydd som bland annat ger ett extra skyddslager när internetbanken används. I praktiken innebär det att vissa webbsidor och tjänster är blockerade när internetbanken är öppen. Det är smart eftersom det då blir svårare för utomstående att komma och betalningsinformation.
Norton 360 Standard,2020-01-21,9.5,Morten Skeldal Østergaard,En av de bästa säkerhetsprogrammen blir tvåa.,Program appar spel, Ett av de effektivaste säkerhetsprogrammen," En falsk varning
","AV-Test undersöker också om Norton 360 kan se skillnad på virus och säkra program som uppträder misstänkt. Det visar sig att Norton 360 ger en falsk varning för ett säkert program. Det är ingen katastrof, men det finns konkurrenter som klarar detta bättre. Detta misstag petar ner Norton till andraplatsen i vårt jämförande test."
ErgonomicScrollApplication,2020-02-03,8.3,Morten Skeldal Østergaard,Enkel app som automatiserar mushjulet.,Program appar spel, Mindre jobb för pekfingret, Dyrt för en enda funktion,Det hela kräver viss tillvänjning eftersom rullriktningen inte ändras även om man rullar åt andra hållet. Pekaren måste föras lite åt sidan för att rullningen ska stoppas. Efter ett tag känns det dock naturligt.
Avast Mobile Security,2020-02-03,7.4,Morten Skeldal Østergaard,Billig säkerhetslösning för Android.,Program appar spel, Stoppade alla virus," En falsk varning
",Det är extremt enkelt att använda Avast Mobile Security. Huvudfunktionen att stoppa och leta efter virus tar upp ungefär en tredjedel av appen. Det är bara att trycka på den orangefärgade knappen för att kontrollera telefonen. Det finns ytterligare några funktioner som kan förbättra telefonens prestanda – det går till exempel att rensa ramminnet och ta bort överflödiga filer som tar upp plats i onödan.
Icecream Slideshow Maker Pro,2020-02-06,8.6,Henning Dadkhah Rasmussen,Fascinerande bildspel,Program appar spel, På svenska,,"Den som vill förädla bildspelet ytterligare kan med fördel lägga på musik eller andra ljud till bilderna, kanske en kommentar. Slutligen går det att välja kvalitet och upplösning innan filen sparas eller bränns på en dvd eller cd."
Huawei WiFi Q2 Pro,2020-03-12,7.8,Henrik Ræder Clausen,Stabilt nätverk i hela huset.,Router, Stabilt nätverk, Halvdan räckvidd,"Räckvidden begränsas dessvärre av hemmets fyra väggar. Signalen har svårt att tränga igenom ytterväggarna och nå trädgården, något andra routrar klarar bättre. Nätverket ger upp på ganska korta avstånd och traditionella routrar med en enda enhet ger längre räckvidd än detta paket."
Huawei P Smart Pro,2020-02-06,7.6,Morten Skeldal Østergaard,Stor och tung mobil med lång batteritid.,Telefon, Lång batteritid," Ovanligt tung
","De tre kameralinserna på baksidan ger i stort sett samma möjligheter som i betydligt dyrare telefoner. Huvudkameran tar bra bilder och den kompletteras av en praktisk vidvinkellins och en lins med så kallad bokehfunktion, det vill säga en funktion för professionella porträtt där personen är skarp medan bakgrunden är suddig."
Twinkly Festoon,2020-02-03,6.7,Morten Skeldal Østergaard,Festlig ljusslinga som styrs med en app.,Diverse, Smart app, För få lampor,Vi hade dessvärre problem med ett par av lamporna. De kunde inte hålla samma färg som övriga lampor trots att vi ställde in det så i appen.
Fairphone 3,2020-01-11,7.5,Markus Dahlberg,Hållbar telefon att laga själv.,Telefon, Utbytbara delar, Android 9,Detta är ingen telefon för hetsiga konsumenter som måste ha det senaste. Fairphone 3 är en eftertänksam produkt för alla som förstår miljötänket och som nöjer sig med en bra telefon utan att ha behov av något annat än just det. Det är mycket sympatiskt. 
SteelSeries Rival 3,2020-02-06,8.2,Morten Skeldal Østergard,Bra mus med fint pris/kvalitet-förhållande.,Mus, Ovanligt lätt," Slingrig kabel
","Rival 3 är en trivsam kompis på skrivbordet under en arbetsdag. Den saknar alla former av ergonomiska detaljer, men den glider lätt och obesvärat över underlaget. Det enda som skvallrar om att detta är en spelmus är att logotypen och undersidan kan lysa i olika färger. Ljuset kan dock stängas av."
Rapoo MT550,2020-02-07,8.2,Morten Skeldal Østergaard,Smidig mus till en bärbar dator.,Mus, God ergonomi," Avigt placerat rullhjul
",Usb-adaptern är så liten att den kan sitta på plats i usb-porten när datorn packas ner. Det finns även plats för att förvara den under batterilocket på musens undersida. Det behövs två AA-batterier vilka Rapoo lovar räcker för att hålla i gång musen under ett år.
Sandberg 3in1 Card Reader,2020-02-09,8.4,Morten Skeldal Østergaard,Liten kortläsare med tredubbla usb-kontakter.,Diverse, Tre usb-typer," Locket lossnar
","Överföringshastigheterna är inte mycket att skryta med, men finessen med Sandbergs kortläsare är inte hastigheten utan dess mångsidighet."
MSI Prestige 15 A10SC,2020-03-09,8.9,Morten Skekdal,Välbyggd arbetsdator,Dator, Snabb,,"På sidorna finns ett bra urval av portar, bland annat två usb c-portar med stöd för Thunderbolt 3 – något som innebär riktigt höga överföringshastigheter."
HP Envy x360 Convertible 15-dr1038no,2020-02-21,8.3,Markus Dahlberg,15-tummaren med träinläggningar.,Dator, Träpanel," Lite småfet
","Det går till och med att arbeta med tunga bilder eller spela nyare spel utan att datorn kroknar. Lite synd är det att fläktarna drar i gång alltför fort, och de låter mycket."
Sandberg Powerbank 10000 Wireless 10W,2020-02-26,7.7,Morten Skeldal Østergaard,Trådlös laddare med sugkoppar.,Portabelt batteri, Sitter fast på telefonen," Tung
","Själva batteriet, eller powerbanken som det heter på nutidssvenska, laddas upp via en micro usb- eller en usb c-port. Det följer med en usb c-kabel på en halvmeter. Batteriet har en kapacitet på 10 000 milliamperetimmar, vilket räcker för att ladda en normalstor mobiltelefon 2,5 – 3 gånger."
Redragon Harpe,2020-02-26,6.2,Morten Skeldal Østergaard,Funktionsrikt lågpristangentbord.,Tangentbord, Många funktioner," Usel manual
","Med tanke på prislappen får vi riktigt många funktioner. De är emellertid ganska undangömda och svåra att hitta. Den enda manual som följer med är en tunn historia på engelska, och den ger inte mycket vägledning. Efter lite experimenterande inser vi att det går att spara makron i tangentbordet, det vill säga att de går att spara exempelvis en hel hemadress under någon av de fem G-tangenterna."
