Title,Date,Rating,Author,Summary,OCN,Pros,Cons,Verdict
Asus Blue Cave AC2600,2018-09-30,7.8,Mathias Alsted Lund Flinck,"Blue Cave är en trådlös router med annorlunda design och smarta funktioner Lätt att använda, men hastigheterna sjunker snabbt långt borta från routern.",Router, Enkel installation, Låga hastigheter i ytterområden,
Asus ROG Rapture GT-AC5300,2018-10-11,9.0,Henrik Ræder Clausen,En router byggd för datorspelare som kräver massor med prestanda och höga hastigheter.,Router, Höga hastigheter, Väldigt dyr,
HyperX Alloy FPS RGB,2018-10-11,8.9,Morten Skeldal Østergaard,HyperX Alloy FPS RGB är ett gediget tangentbord som är skönt att skriva på.,Tangentbord, Sköna tangenter, Ljusföroreningar,
Lightworks,2019-10-31,7.2,Morten Skeldal Østergaard,Avancerat och omfattande videoredigeringsprogram som inte behöver kosta något.,Program appar spel, Många avancerade funktioner, Låg upplösning i gratisversionen,"För den som orkar hålla ut och som lär sig hur programmet fungerar väntar ett kraftfull program för att redigera videofilmer. Det är fullt av spännande funktioner, det går till exempel att rätta till mörka inspelningar och det finns en inbyggd och användbar funktion för att göra titelskärmar till filmerna."
Dell G5 15 5587,2018-10-09,9.2,Morten Skeldal Østergaard,Dell G5 levererar massor med prestanda för pengarna.,Dator, Snabb, Tung,
Lenovo Legion Y530-15ICH,2018-10-22,7.5,Markus Dahlberg,En stor bärbar dator för spel och jobb till ett relativt smakligt pris.,Dator, Stramt utseende, Stor och tung,
Motorola Polaroid Insta-Share Printer,2018-10-25,6.4,Henrik Ræder Clausen,En mobil skrivare som fästs på Motorolas utbyggbara mobiltelefoner och som skriver ut färgfoton.,Skrivare, Lätt att använda, Liten pappersstorlek,
Epson Expression Home-445,2018-08-21,6.4,Christian Slot,Epsons printer trækker lodrette striber i fotoudskrifter.,Skrivare, Naturtrogna färger, Ganska låg kontrast,
Motorola Moto Z3 Play,2018-10-23,8.4,Henrik Ræder Clausen,"En stor mobiltelefon med gott om plats, kraftigt batteri och ett unikt modulsystem.",Telefon, Utbyggbar med moduler, Medelmåttiga prestanda,
Asus Lyra Trio AC1750,2018-09-04,7.4,Mathias Alsted Lund Flinck,"Asus Lyra Trio är ett ovanligt lättanvänt meshroutersystem som ger täckning över stora områden. Satelliterna ger dock ganska långsamma överföringshastigheter, dessutom finns det får få inställningsmöjligheter.",Router, Obegränsad säkerhetslicens, Få inställningar,
Ashampoo Backup Pro 12,2018-08-29,6.6,Niklas Ernst,Ashampoo Backup Pro 12 gör det relativt smärtfritt att ta backup av antingen hela datorn eller enskilda mappar.,Program appar spel, Lätt att använda, Det finns billigare alternativ,
Verbatim Store ‘n’ Go Secure Portable HDD,2018-08-29,7.8,Martin Haverholm,"Store 'n' Go Secure Portable HDD ser ut att höra hemma hos James Bond, men den är så säker att ingen utomstående kan komma åt de filer som ligger på den.",Hårddisk, Lätt att börja använda, Inte ssd,
Microsoft Surface Keyboard,2018-08-20,8.5,Morten Skeldal Østergaard,Bra Bluetooth-tangentbord för Windows.,Tangentbord, Bra skrivställning, Ej uppladdningsbart,
Dell XPS 15 (2018),2018-08-29,8.1,Morten Skeldal Østergaard,"En snygg dator med många företräden, men även med ett par smärre skavanker.",Dator, Bra skärm, Låter en hel del,
Huawei MateBook X Pro,2018-08-30,9.1,Morten Skeldal Østergaard,Huawei har byggt en utmärkt bärbar pc för alla som frekvent behöver ta med sig datorn.,Dator, Liten och lätt,,
Sandberg Outdoor Solar Powerbank 24000,2018-08-30,9.8,Martin Haverholm,Ett portabelt batteri som kan ladda både datorer och mobiltelefoner. Hög kapacitet och tåligt.,Portabelt batteri, Tålig,,
Logitech G512 Carbon,2018-08-30,7.9,Niklas Ernst,Välkonstruerat tangentbord med bra respons i tangenterna.,Tangentbord, Minimalistiskt klassiskt utseende, Dyrt,
Sandberg Xterminator Mouse,2018-07-31,8.0,Niklas Ernst,Sandberg Xterminator är en bra basmus som duger till det mesta.,Mus, Känslig, Glatta sidoknappar,
Logitech G305 Lightspeed,2018-08-30,8.0,Niklas Ernst,En bra och mångsidig mus med en utlovad batteritid på nio månader.,Mus, Lång batteritid, Ganska liten,
Deltaco TB-137,2018-07-27,7.2,Morten Skeldal Østergaard,Kombinerat tangentbord och fodral till pekdatorn.,Tangentbord, Magnetfäste, Litet och klent,
AOC I1601FWUX,2018-07-30,7.5,Peter Skovbjerg Jensen,AOC I1601FWUX är en portabel bildskärm som dessvärre lider av den del irriterande problem.,Skärm, Lätt att ta med, Skraltigt stöd,
Canon Pixma TS6150,2018-07-30,7.0,Christian Slot,Canon har gjort en fantastisk skrivare som hanterar alla utskrifter på ett tillfredsställande sätt. Vi saknar emellertid lite färgmättnad i bildutskrifterna.,Skrivare, Allmänt sett bra färgutskrifter, Saknar lite färgmättnad,
Asus Zenfone 5Z,2018-07-31,8.2,Mathias Alsted Lund Flinck,"Zenfone 5Z är ett billigare alternativ till Asus flaggskepp. Den har en skärm på 6,2 tum och artificiell intelligens som hjälper till med allt från uppladdning till fotografering.",Telefon, Snabb, Instabil ansiktsigenkänning,
Sonos Beam,2018-07-31,9.3,Mathias Alsted Lund Flinck,Sonos Beam är en kompakt ljudlimpa som är anpassad för att återge välljudande musik och tv-ljud i mindre rum. Det klarar den galant och ljudet är välbalanserat. Lätt att styra.,Högtalare, Kompakt, Hög ljudkvalitet,
LIFX Beam,2018-08-01,8.1,Morten Skeldal Østergaard,En smart lösning för att kunna fjärrstyra indirekt belysning via mobilen.,Diverse, Många möjligheter, Påträngande reklam,
Epson WorkForce Pro WF-3725,2018-08-21,8.0,Christian Slot,"En stor kontorsskrivare som skriver både snabbt och snyggt, men den är testets överlägset dyraste skrivare.",Skrivare, Snabb, Tar stor plats på skrivbordet,
HP DeskJet 3639,2018-08-21,6.2,Christian Slot,HP DeskJet 3639 skulle vara en fantastisk skrivare om det inte hade varit för de tydliga strecken på utskrifterna.,Skrivare, Enkel installation, Långsam,
Asus ROG Strix XG35VQ,2018-08-31,8.5,Martin Haverholm,Asus ROG Strix XG35VQ bevisar att en ultrabred böjd bildskärm inte bara är en gimmick. Det breda formatet ger massor med plats på skrivbordet i Windows och kurvningen gör att bilden upplevs som bättre.,Skärm, Snabbinstallerad, Halvdan färgåtergivning,
Synology Diskstation DS119j,2018-10-31,7.2,Henrik Ræder Clausen,En enkel nätverkshårddisk med plats för en intern hårddisk.,Nätverkshårddisk (NAS), Enkel installation, För lite ramminne,
Acer Predator Helios 300,2018-10-25,8.5,Henrik Ræder Clausen,Speldator med tunga prestanda,Dator, Snabbt grafikkort, Mindre lämpligt tangentbord,
Acer Swift 3 – SF315-52-36ER,2018-10-30,8.3,Morten Skeldal Østergaard,"Acer Swift är en bra avvägning mellan pris, prestanda och byggkvalitet.",Dator, Intel Optane, För smal numerisk del,
Sandberg Car Charger USB-C,2018-11-04,9.4,Morten Skeldal Østergaard,Smart liten billaddare,Portabelt batteri, Snabb laddning,,
OnePlus 6T,2018-11-01,9.0,Morten Skeldal Østergaard,Ännu en gång levererar OnePlus en topptelefon till lågt pris.,Telefon, Billig, Långsam fingeravtrycksläsare,
HyperX Alloy Core RGB,2018-12-07,8.2,Henrik Ræder Clausen,Ett gediget bakgrundsbelyst tangentbord som passar bäst till spel.,Tangentbord, Gediget byggd, Ganska tröga tangenter,
Asus Zenbook Pro 15,2018-11-08,9.1,Henrik Ræder Clausen,En bärbar pc i lyxklassen med höga prestanda och extrem skärmupplösning.,Dator, Extremt höga prestanda, Brus i ljudkortet,
Google Home Mini,2018-11-14,8.8,Morten Skeldal Østergaard,"Google-assistenten är en röststyrd medhjälpare som kan svara på frågor, tala om vad klockan är och styra smarta apparater hemma via det trådlösa nätverket.",Diverse, Fjärrstyr ett digitalt hem, Tveksamma informationskällor,
Huawei Mate 20 Pro,2018-11-18,9.5,Morten Skeldal Østergaard,Huawei har gjort en mycket bra Android-telefon med flera nya idéer.,Telefon, Fantastisk kamera, Seg fingeravtrycksläsare,
Jabra Elite Active 65t,2018-08-03,9.3,Markus Dahlberg,Trådlösa öronproppar med fokus på arbetsliv och fritidsaktiviteter. De tål fukt och ljudet kan anpassas med Jabras app Sound+.,Hörlurar och headset, Laddningsetui," Halvdan samtalskvalitet
",Det går dock inte att klaga på ljudkvaliteten i själva lurarna. Ljudet är varmt och omfångsrikt och det bästa vi har hört i ett par hörlurar av den här typen. De slår faktiskt Airpods med ett mer öppet och nyansrikt ljud. Dessutom spelar de lite högre vid samma ljudvolym. Här har Jabra lyckats riktigt bra.
Netatmo Weather Station NWS01-EC,2018-12-17,9.1,Morten Skeldal Østergaard,Håll koll på vädret med Netatmos praktiska väderstation,Diverse, Bra app,,
TP-Link TL-PB10400,2018-10-02,7.0,Morten Skeldal Østergaard,En ganska klumpig powerbank från TP-link med inbyggd minificklampa.,Portabelt batteri, Inbyggd ficklampa, Lite klumpig,
Samsung Galaxy Note9,2018-09-17,8.3,Henning Rasmussen,Samsung Note9 är en rejält stor och på många sätt lyckad mobiltelefon. Men den digitala assistenten Bixby borde läggas ned.,Telefon, Fantastisk skärm, Bixby är hopplös,
Roccat Khan AIMO,2018-09-14,7.6,Markus Dahlberg,"Usb-anslutet headset med 7.1-surroundljud. Strikt design, bling-bling och massiva inställningar.",Hörlurar och headset, Sköna, Inte för musik,
AVM Fritz!Powerline 1260E WLAN Set,2018-11-21,6.5,Henning Dadkhah Rasmussen,Med elnätsmodemen från tyska AVM skapas ett nätverk via de befintliga elkablarna och skapa ett trådlöst nätverk långt från routern.,Elnätsmodem, Fast och trådlöst nätverk grafikkort, Krånglig installation,
Toshiba Portégé X30-E-12H,2018-09-26,8.8,Markus Dahlberg,Otroligt lätt bärbar pc med all modern teknik och fina prestanda. En arbetsdator att drömma om.,Dator, Härligt lätt och smidig, Dålig bakgrundsljus i tangentbordet,
Acer Aspire 3 A315-41-R7S0,2018-10-01,7.8,Morten Skeldal Østergaard,En bärbar som ger mycket för pengarna.,Dator, Rätt anslutningar,,
Samsung Battery Pack (EB-PG950),2018-09-28,7.8,Morten Skeldal Østergaard,Tunn och elegant powerbank med snabbladdning för nyare Samsung-telefoner.,Portabelt batteri, Liten och lätt att ta med, Endast snabbladdning med nya Samsung-mobiler,
"Sandberg Survivor Torch Powerbank, 10400 mAh",2018-09-27,8.1,Morten Skeldal Østergaard,"Extrabatteri, ficklampa och nödhammare i ett.",Portabelt batteri, Starkt ljus,,
Deltaco TB-135,2019-01-04,8.6,Morten Skeldal Østergaard,Ett kompakt Bluetooth-tangentbord som tar liten plats och som tål det mesta.,Tangentbord, Hopfällbart,,"Det finns inte fristående snabbknappar, men sifferraden överst fungerar även för att styra exempelvis musik när Fn-tangenten hålls nedtryckt. Den knappen ger för övrigt en rad specialfunktioner på många av tangenterna."
Ashampoo Uninstaller 8,2019-01-03,9.4,Henrik Ræder Clausen,"Ett program som avinstallerar program, webbläsartillägg och andra filer.",Program appar spel, Bra översikt, Några givna funktioner saknas,
Synology DiskStation 218+,2018-10-01,9.2,Henrik Ræder Clausen,"Kompakt nätverkshårddisk med höga prestanda, många appar och hög kapacitet.",Nätverkshårddisk (NAS), Enkel att installera, Svårt att behålla överblicken,
HitFilm Express,2019-01-24,7.4,Morten Skeldal Østergaard,HitFilm Express är lite för ivrigt med att försöka sälja sina extrafunktioner.,Program appar spel, Bra till effekter, Få funktioner,När det är dags att exportera den färdiga filmen behöver du gå in i en särskild meny. Här visas ett överskådligt utbud av färdiggjorda inställningar för exempelvis YouTube och Facebook.
Asus Chromebook C302C,2019-01-28,7.9,Morten Skeldal Østergaard,Asus Chromebook C302C är ett alternativ för dig som inte vill använda Windows utan i stället Googles Chrome OS.,Dator, Fungerar även som surfplatta, Kan inte köra Windows-program,"Det jag hade svårast att vänja mig vid under hela den tiden jag använde Asus Chromebook, var att det saknas en Delete-tangent. I stället tryckte jag på låsknappen långt upp till höger. Utöver låsknappen finns det flera praktiska tangenter med kortkommandon längst upp på tangentbordet."
Microsoft Surface Book 2,2018-11-22,7.9,Morten Skeldal Østergaard,"Microsoft har gjort en riktigt läcker dator, men den är inte särskilt snabb.",Dator, Läckert chassi, För seg i förhållande till priset,
Logitech Keys-To-Go,2019-01-04,4.9,Morten Skeldal Østergaard,Keys-To-Go är inte mycket bättre än att skriva direkt på skärmen.,Tangentbord, Plastskena för pekdatorn," Svårt att känna tangenterna
",Det följer med en liten plastskena som trycks fast i överkant. I plastskenan kan sedan surfplattan placeras medan man skriver. Det fungerar alldeles utmärkt och skärmen hamnar i en behaglig vinkel när man sitter och skriver.
Samsung Galaxy Tab S4,2018-11-22,8.8,Morten Skeldal Østergaard,Samsung Galaxy Tab S4 fungerar nästan som en dator tack vare Samsung Dex.,Pekdator, Samsung Dex fungerar som en pc, Den digitala assistenten Bixby är kass,
Lenovo Legion C530-19ICB,2018-11-27,7.6,Morten Skeldal Østergaard,"Lenovos roliga dator är snabb och lätt att ta med, men priset är i överkant.",Dator, Snabb, Förhållandevis dyr,
Logitech MX Vertical,2018-11-01,9.0,Markus Dahlberg,"Ergonomisk mus från Logitech för att motverka spänningar i arm, armbåge och axel.",Mus, Härlig mus, Alltför dyr,
König 180° Panorama SAS-IPCAM180W1,2018-12-03,6.5,Morten Skeldal Østergaard,Efter en del installationsstrul visar det sig att den lilla övervakningskameran fungerar som den ska.,Övervakningskamera, Billig, Inställningsproblem,
Linksys Velop AC3900,2018-12-03,8.9,Henrik Ræder Clausen,Mesh-routrar med tre små enheter som placeras runt om i bostaden för optimal täckning.,Router, Väl förklarad installation,,
Acer Aspire S24,2018-12-11,7.6,Morten Skeldal Østergaard,Ladda telefonen genom att lägga den på datorn,Dator, Trådlös laddning, Dåligt ljud,
Google Chromecast (gen. 3),2018-11-30,9.4,Morten Skeldal Østergaard,Det blir varken enklare eller billigare att strömma video till en tv.,Mediespelare, Lätt att använda,,
Netgear Nighthawk R7000P,2018-12-10,9.4,Henrik Ræder Clausen,En modern trådlös kvalitetsrouter med höga hastigheter och bra säkerhetsfunktioner.,Router, Hypersnabbt trådlöst nätverk,,
HP Pavilion x360 Convertible 14-cd0806no,2018-12-11,8.8,Markus Dahlberg,En på många sätt trevlig 2 i 1-pc med goda prestanda och ett tilltalande pris. Men allt är inte toppen.,Dator, Fina prestanda, Dumt tangentbord,
HP Smart Tank Wireless 455,2019-01-08,6.8,Morten Skeldal Østergaard,En bläckskrivare med återfyllbara bläckbehållare som räcker för 8000 färgsidor.,Skrivare, Återfyllbara bläckbehållare, Halvdana utskrifter,"I början är skrivaren inte helt lätt att umgås med. Den lilla skärmen är inte tryckkänslig, utan menyerna styrs med de fysiska knapparna intill. De har fått rätt kryptiska ikoner som är svåra att förstå sig på, så det blir till att prova sig fram"
SkyPAD White Glass,2019-01-11,9.4,Morten Skeldal Østergaard,En matt glasplatta som är ett bra och stabilt underlag för musen.,Diverse, Slitstark,,"SkyPAD är enkel att hålla ren. Det är bara att spruta på lite fönsterputs och torka med en ren trasa, så blir den som ny igen. Och till skillnad från tygklädda mjuka musmattor behöver man inte oroa sig för att tyget ska släppa och krulla ihop sig."
SteelSeries Rival 650 Wireless,2019-01-10,9.3,Morten Skeldal Østergaard,Bra mus från SteelSeries.,Mus, Skön att hålla i," Dyr
",Alla knappar har perfekt känsla och de är gedigna. Vid tummen finns det som brukligt två knappar för att exempelvis hoppa framåt/bakåt mellan webbsidor i en webbläsare.
AOC 27V2Q,2019-01-11,9.0,Markus Dahlberg,En riktigt tunn och lätt 27-tumsskärm med få anslutningar och låg upplösning.,Skärm, Extremt tunn, Snålt med anslutningar,
Airthings Wave Plus,2019-01-11,9.3,Morten Skeldal Østergaard,Airthings Wave Plus mäter inomhusklimatet samt varnar om någonting är fel.,Diverse, Mäter många saker, Kort räckvidd,Det är lätt att hänga upp Wave Plus på väggen. Plattan som skruvas fast i väggen innehåller en kraftig magnet och själva dosan klickas enkelt fast tack vare den.
Lenovo V330-15IKB,2019-01-28,8.4,Morten Skeldal Østergaard,Lenovos bärbara ger full fart för hela slanten. Synd att skärmen inte håller samma kvalitet som resten av datorn.,Dator, Många portar, Halvdan skärm,"En liten men ändå smart detalj i dessa övervakningstider är att man kan dra en liten lucka framför webbkameran när man inte använder den, vilket förhindrar hackare som har brutit sig in i datorn att se vad som händer i rummet där datorn står."
Lightworks,2019-01-24,7.2,Morten Skeldal Østergaard,"Lightworks har många spännande funktioner, men kan inte spara ens i full hd.",Program appar spel, Många avancerade funktioner, Kan bara spara i låg upplösning,"Även lågpristelefoner spelar in i full hd (1920×1080 pixel) nu för tiden, och en modern tv med ultra hd har 3840×2160 pixel. I det sammanhanget blir den våldsamma begränsning i upplösning som gratisversionen av Lightworks har, att det inte känns värt besväret att lära sig detta komplicerade men kompetenta program."
Alienware m15,2019-01-14,8.5,Markus Dahlberg,"En bärbar speldator som är snygg och ovanligt nätt. Välbyggt, snabbt och riktigt bra på nästan alla sätt.",Dator, Exceptionella prestanda, Ruskigt dyr,
HP Pavilion x360 15-cr799no,2019-01-28,8.2,Morten Skeldal Østergaard,"Du får mycket dator för pengarna, men kylfläkten väsnas en hel del när datorn pressas med tunga arbetsuppgifter.",Dator, Bra skärm, Lite för ivrig kylfläkt,"En sak som jag däremot hade klarat mig utan är kylfläkten som är väldigt aktiv. Vid krävande arbetsbelastning väsnas den dessutom en hel del. I kontorsmiljö störde detta inte mig, men i tysta omgivningar blev den ganska irriterande efter ett tag. På det stora hela har dock HP lyckats skapa en bärbar dator som kostar mindre än den ger intryck av, även när man använder den. Om du vill ha en dator som är mobil, mångsidig och presentabel, är det här en dator att titta närmare på."
Ultimate Ears Megaboom 3,2019-01-24,8.9,Morten Skeldal Østergaard,En liten Bluetooth-högtalare som ger ett bättre och fylligare ljud än man man tro.,Högtalare, Bra ljud, Ingen ljudingång,"Eftersom Megaboom bara kan anslutas via Bluetooth, det finns ingen ljudingång. Det finns dock en app som hör till. Med den kan högtalarens fasta program (firmware) uppdateras och det går att stänga av/sätta på högtalaren samt ändra ljudvolymen. Appen tillför inget viktigt som man i vardagen inte kan göra enklare på själva högtalaren, så den glömmer man snart bort."
Lenovo Yoga 730,2018-12-14,8.9,Markus Dahlberg,"En 2 i 1-dator som kan bli en riktig vän, både på jobbet och hemma. Det mesta är helt rätt.",Dator, Goda prestanda, Dyr,
Logitech Pro Wireless,2018-12-12,8.8,Markus Dahlberg,En avskalad och enkel proffsmus med oöverträffad sensor och kvalitet.,Mus, Härlig mus, Trist prislapp,
Logitech K780,2019-01-06,8.7,Morten Skeldal Østergaard,Logitech K780 är ett trådlöst tangentbord som fungerar med allt.,Tangentbord, Tre enheter samtidigt,,Ovanför den översta raden med tangenter finns det ett fast stöd som håller mobilen eller pekdatorn stabilt medan du skriver. Bortsett från de runda tangenterna är K780 utformat som ett vanligt datortangentbord med tangenter för kortkommandon och en numerisk del till glädje för alla Excel-älskare.
SteelSeries Rival 710,2018-12-20,7.9,Morten Skeldal Østergaard,Mus med inbyggd skärm,Mus, Lätt att göra personlig, Väldigt stor,
Razer Abyssus Essential,2019-10-31,8.0,Morten Skeldal Østergaard,Basal spelmus med tre knappar.,Mus, För höger- och vänsterhänta," Bara tre knappar
","Det enda spektakulära är att Abyssus har ljus på undersidan och i logotypen på ovansidan. Ljuset kan ställas in med Razers program Synapse, som även används till andra av företagets produkter, till exempel tangentbord. Programmet kan även synkronisera ljuset med musik, det som visas på skärmen eller med ljuset från tangentbordet. Synapse kan även styra Philips smarta lampor Hue."
Roccat Kone Pure Owl-Eye,2018-12-20,8.5,Markus Dahlberg,En lite mindre spelmus med i stort sett perfekt passform. Fungerar ypperligt på de flesta underlag tack vare den uppdaterade och känsliga sensorn.,Mus, Bra passform, Krångligt program,
Canon Zoemini,2018-12-18,7.9,Markus Dahlberg,"En liten batteridriven Bluetooth-skrivare för små självhäftande bilder i formatet 5 x 7,6 centimeter.",Skrivare, Liten, Kort batteritid,Det är lätt att komma i gång och parningen är enkel. Det största problemet är att Zoemini stängs av alltför snabbt för att spara ström – även om den är inkopplad till en strömkälla (via usb). Man hinner sällan ta en bild och fixa till den innan skrivaren stängs av.
Libratone Zipp 2,2018-12-22,7.8,Morten Skeldal Østergaard,Zipp 2 är en läcker men dyr högtalare.,Högtalare, Fylligt ljud, Väldigt dyr,
Epson SureColor P800,2019-01-04,8.8,Morten Skeldal Østergaard,"Epsons skrivare ger helt oöverträffade fotoutskrifter ända upp till A2-storlek, men priset är också därefter.",Skrivare, Fantastiska fotoutskrifter," Tar stor plats på skrivbordet
","Utskrifterna från SureColor ligger väldigt nära originalbilden som skickas till skrivaren. Om du är van vid fotoutskrifter där färgerna har fått en påtaglig fyllighet knuff så att himlen blir extra blå och gräset extra grönt, kan du bli lite besviken över de bilder som SureColor P800 levererar. Om du vill ha mer tryck i färgerna behöver du bearbeta bilden på datorn, eftersom skrivaren skriver ut så som bilden ser ut och inte nödvändigtvis som du vill att den ska se ut. "
Dell UltraSharp 34 U3419W,2018-12-28,9.2,Markus Dahlberg,"En stor bildskärm på 34 tum som böjer av kring användare. Hög bildkvalitet, många portar och fint ljud.",Skärm, Underbar bildkvalitet, Svårt att nå baksidan,
Doro 7070,2019-01-24,4.8,Morten Skeldal Østergaard,Doro 7070 hamnar mellan två stolar när den försöker vara en vikbar telefon och smartmobil samtidigt.,Telefon, Bra mottagning, Svårhanterad,"På en punkt är dock Doro 7070 bättre än någon av konkurrenterna från Apple, Huawei och Samsung. Den har nämligen bäst mottagning av alla testade telefoner när universitetet i Ålborg undersökte 16 olika mobiltelefoner."
Ikea Eneby,2019-01-24,7.3,Morten Skeldal Østergaard,"Ikeas högtalare levererar inte Hi-Fi-kvalitet, men det är trots allt en bra högtalare i förhållande till priset.",Högtalare, Bärbar eller hängs på väggen, Ljudet kunde vara bättre,Även om ljudkvaliteten inte är den absolut bästa är Eneby faktiskt en alldeles utmärkt högtalare – särskilt som den är betydligt billigare än de flesta konkurrenter.
Roccat Vulcan 120 AIMO,2019-02-01,9.1,Morten Skeldal Østergaard,Roccat Vulcan 120 AIMO är ett effektivt och snyggt skrivredskap. Det är bara det billiga handledsstödet som drar ner intrycket.,Tangentbord, På alla sätt ett lysande tangentbord, Dyrt,Det följer med ett handledsstöd som klickas fast med magneter. Det sitter ordentligt fast och det hjälper till att ge en vettig arbetsställning för alla som skriver med alla tio fingrar och korrekt fingersättning. Tyvärr håller det inte samma klass som tangentbordet i övrigt. Det avlånga stödet i svart hårdplast är raka motsatsen till de mjuka handledsstöd som brukar höra till bättre tangentbord.
Harman Kardon Citation 100,2019-01-28,8.1,Morten Skeldal Østergaard,"Citation 100 är en fin liten högtalare, men om du inte vill ha den digitala assistenten finns det bättre högtalare till samma pris.",Högtalare, Google-assistenten inbyggd, Svårstyrd,"Varken formgivningen eller konstruktionen är lika märkvärdig som i liknade cylinderhögtalare. Inte heller styrningen är i topp. På ovansidan finns de tryckkänsliga knappar som används för  betjäningen, men det är för svårt att känna om ett tryck har registrerats eller ej, vilket ofta leder till irriterande dubbeltryck."
Sandberg 2in1 Bluetooth Keyboard,2019-02-19,6.5,Morten Skeldal Østergaard,Ett bra Bluetooth-tangentbord för mobila enheter.,Tangentbord, Prisvärt, Knöligt att packa ned,"Tack vare fyra gummifötter står tangentbordet stadigt på vilket bord som helst. Upphöjningen i bakkant fungerar som ett stöd för mobilen eller surfplattan, som hamnar i rätt vinkel när man skriver text. Det går dock inte att ändra lutningen, det blir till att sträcka på sig eller sjunka ihop om bilden inte hamnar rätt. Upphöjningen är en förlängning av tangentbordet och kan därmed inte tas loss, vilket gör det bökigare att packa ned tangentbordet i en datorväska. Trots att tangentbordet är i full bredd finns det ingen numerisk del. "
Photoshop Elements 2019,2019-03-22,9.3,Morten Skeldal Østergaard,"Avancerad bildbehandling blir enkel med Adobes fina program, som anpassar sig efter användarens behov.",Program appar spel, Lätt att använda,,"Elements är uppbyggt i delar och Fotoredigeraren och Organiseraren startas som om de vore separata program. I Fotoredigeraren går det att bestämma hur avancerade funktioner man vill se: Läget Snabb innehåller bara de mest använda verktygen för att till exempel beskära, åtgärda röda ögon och lägga till en text i en bild. I läget Guidad håller Elements dig i handen och hjälper till för att exempelvis förbättra ett fotografi. Det går att göra lite mer, till exempel ställa in ljus och kontrast. Intill bilden visas hur den kommer att bli när olika effekter eller justeringar ändras med hjälp av skjutreglage. Läget Expert plockar fram alla verktyg som finns i Photoshop Elements för att bildbehandla lite mer som proffsen."
Lenovo Yoga C930,2019-03-07,8.6,Morten Skeldal Østergaard,"Yoga C930 är en tunn, elegant och snabb bärbar pc som, när skärmen vinklas 360 grader bakåt, fungerar lika bra som en surfplatta.",Dator, Snabba komponenter," Trist tangentbord
","I bakkant till vänster finns det plats för en pekpenna, som poppar ut när man trycker till på den. Den är praktisk att hands i surfplatteläget och förvaringen av den är smidig och smart. Windows känner av när skärmen vrids bakåt och aktiverar surfplatteläget automatiskt (om man vill). Håller man pekdatorn på högkant ändras skärmen efter det också. Bra!"
Ashampoo WinOptimizer 2019,2019-03-28,7.5,Henrik Ræder Clausen,Ett optimeringsprogram som tar bort onödiga filer och gör datorn snabbare.,Program appar spel, Noggrant och lättanvänt," Överdriver problemen
","Den enda invändningen är egentligen att WinOptimizer överdriver problemen. Startskärmens röda färg och tusentals fel känns ganska hotfull men när man tar en titt på problemen är de oftast av de lättare slagen, till exempel cookiefiler eller bortglömda registerposter i Windows register. Raderas allting okritiskt frigörs visserligen mycket plats på hårddisken, men samtidigt försvinner sparade inloggningsuppgifter i webbläsaren."
Epson XP-7100,2019-03-22,8.5,Morten Skeldal Østergaard,Epson XP-7100 är en bra skrivare för blandat bruka hemma om utskriftsbehovet inte är så stort.,Skrivare, Fina fotoutskrifter," Litet pappersfack
","Facket på ovansidan döljer en bildläsare. Allt som ska skannas måste dras igenom skannern, det går alltså inte att skanna exempelvis sidor ur en bok. Bildläsaren är snabb och lätt att hantera via den stora pekfärgskärmen, som för övrigt vinklas ut när den behövs."
HyperX Cloud Mix,2019-03-13,9.1,Morten Skeldal Østergaard,"Ett bra headset för telefon, surfplatta och dator.",Hörlurar och headset, Hög ljudkvalitet," Laddning via micro-usb
",De är lätta att passa in så att de sitter bra. Mikrofonen kan enkelt tas loss när den inte behövs. Det är toppen när man inte vill ha den i vägen när man lyssnar på musik.
Lexip PU94 3D Gaming Mouse,2019-03-11,7.0,Ove Kaufeldt,Lexip har byggt en annorlunda mus med en liten styrspak för tummen.,Mus, Hög precision, Kräver klogrepp,"Om du använder klogreppet och vill prova något nytt så erbjuder Lexip PU94 bra prestanda och spännande nya funktioner. Om du använder något annat grepp är de spännande nyheterna helt bortkastade, och då finns det både bättre och billigare möss på marknaden."
Sandberg Survivor Camper Powerbank 42000,2019-03-22,8.4,Morten Skeldal Østergaard,Sandbergs stora powerbank är ett reservbatteri som räcker i flera dagar för att ladda mobiltelefoner och bärbara datorer.,Portabelt batteri, Hög strömkapacitet, Stor och klumpig,"CamperPowerbank väger nämligen hela 1,5 kilo och är 21 centi­meter lång. Det är ungefär som att släpa med sig ett fullt mjölkpaket var man går. Dessutom är Sandbergs powerbank så kraftfull att det inte duger med vanlig usb-laddning. Den kräver en egen strömadapter för att laddas upp. Tur då att det följer med en bärrem…"
Sony WH-1000XM3,2019-02-05,9.8,Markus Dahlberg,Sonys uppdaterade hörlurar har marknadens bästa brusreducering. Dessutom är de fyllda med smarta funktioner.,Hörlurar och headset, Otrolig brusreducering, Dyra,Laddningen sker via en usb c-port och batterierna räcker runt 30 timmar. Om man inte vill nöta på batteriet kan hörlurarna kopplas till ett vanligt hörlursuttag via den audiokabel som följer med. Det följer även med ett etui att förvara allt i.
